summary_code,detail_code,detail_desc,bea_code
ppd,ppb_ppd,Paper bag and coated and treated paper manufacturing,322220
ppd,ppm_ppd,Paper mills,322120
ppd,sta_ppd,Stationery product manufacturing,322230
ppd,toi_ppd,Sanitary paper product manufacturing,322291
pri,pri_pri,Printing,323110
pri,sap_pri,Support activities for printing,323120
pub,bok_pub,Book publishers,511130
pub,mal_pub,"Directory, mailing list, and other publishers",5111A0
pub,new_pub,Newspaper publishers,511110
pub,pdl_pub,Periodical publishers,511120
pub,sfw_pub,Software publishers,511200
rec,amu_rec,Amusement parks and arcades,713100
rec,cas_rec,Gambling industries (except casino hotels),713200
rec,ori_rec,Other amusement and recreation industries,713900
res,ful_res,Full-service restaurants,722110
res,lim_res,Limited-service restaurants,722211
res,ofd_res,All other food and drinking places,722A00
rnt,aut_rnt,Automotive equipment rental and leasing,532100
rnt,cmg_rnt,General and consumer goods rental,532A00
rnt,com_rnt,Commercial and industrial machinery and equipment rental and leasing,532400
rnt,int_rnt,Lessors of nonfinancial intangible assets,533000
sec,com_sec,Securities and commodity contracts intermediation and brokerage,523A00
sec,ofi_sec,Other financial investment activities,523900
sle,ele_sle,State and local government electric utilities,S00202
sle,ent_sle,Other state and local government enterprises,S00203
sle,trn_sle,State and local government passenger transit,S00201
slg,edu_slg,State and local government (educational services),GSLGE
slg,hea_slg,State and local government (hospitals and health services),GSLGH
slg,oth_slg,State and local government (other services),GSLGO
smn,drl_smn,Drilling oil and gas wells,213111
smn,oth_smn,Other support activities for mining,21311A
soc,cmf_soc,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00
soc,day_soc,Child day care services,624400
soc,ifs_soc,Individual and family services,624100
tex,fml_tex,Fabric mills,313200
tex,fyt_tex,"Fiber, yarn, and thread mills",313100
tex,lin_tex,Curtain and linen mills,314120
tex,otp_tex,Other textile product mills,314900
tex,rug_tex,Carpet and rug mills,314110
tex,txf_tex,Textile and fabric finishing and fabric coating mills,313300
trk,trk_trk,Truck transportation,484000
trn,trn_trn,Rail transportation,482000
tsv,acc_tsv,"Accounting, tax preparation, bookkeeping, and payroll services",541200
tsv,adv_tsv,"Advertising, public relations, and related services",541800
tsv,arc_tsv,"Architectural, engineering, and related services",541300
tsv,des_tsv,Specialized design services,541400
tsv,env_tsv,Environmental and other technical consulting services,5416A0
tsv,mgt_tsv,Management consulting services,541610
tsv,mkt_tsv,"All other miscellaneous professional, scientific, and technical services",5419A0
tsv,pht_tsv,Photographic services,541920
tsv,sci_tsv,Scientific research and development services,541700
tsv,vet_tsv,Veterinary services,541940
use,sec_use,Used and secondhand goods,S00402
use,srp_use,Scrap,S00401
uti,ele_uti,"Electric power generation, transmission, and distribution",221100
uti,gas_uti,Natural gas distribution,221200
uti,wat_uti,"Water, sewage and other systems",221300
wht,dru_wht,Drugs and druggists' sundries,424200
wht,dut_wht,Customs duties,4200ID
wht,ele_wht,Wholesale electronic markets and agents and brokers,425000
wht,gro_wht,Grocery and related product wholesalers,424400
wht,hha_wht,Household appliances and electrical and electronic goods,423600
wht,mch_wht,"Machinery, equipment, and supplies",423800
wht,mtv_wht,Motor vehicle and motor vehicle parts and supplies,423100
wht,ndg_wht,Other nondurable goods merchant wholesalers,424A00
wht,odg_wht,Other durable goods merchant wholesalers,423A00
wht,pce_wht,Professional and commercial equipment and supplies,423400
wht,pet_wht,Petroleum and petroleum products,424700
wpd,mil_wpd,Millwork,321910
wpd,owp_wpd,All other wood product manufacturing,3219A0
wpd,saw_wpd,Sawmills and wood preservation,321100
wpd,ven_wpd,"Veneer, plywood, and engineered wood product manufacturing",321200
wrh,wrh_wrh,Warehousing and storage,493000
wst,wst_wst,Waste management and remediation services,562000
wtt,wtt_wtt,Water transportation,483000
